year_film,year_ceremony,ceremony,category,name,film,winner
2013,2014,86,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o,12 Years a Slave,True
2014,2015,87,ACTOR IN A LEADING ROLE,Eddie Redmayne,The Theory of Everything,True
2014,2015,87,ACTOR IN A SUPPORTING ROLE,J.K. Simmons,Whiplash,True
2014,2015,87,ACTRESS IN A LEADING ROLE,Julianne Moore,Still Alice,True
2014,2015,87,ACTRESS IN A SUPPORTING ROLE,Patricia Arquette,Boyhood,True
2015,2016,88,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Revenant,True
2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Rylance,Bridge of Spies,True
2015,2016,88,ACTRESS IN A LEADING ROLE,Brie Larson,Room,True
2015,2016,88,ACTRESS IN A SUPPORTING ROLE,Alicia Vikander,The Danish Girl,True
2016,2017,89,ACTOR IN A LEADING ROLE,Casey Affleck,Manchester by the Sea,True
2016,2017,89,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Moonlight,True
2016,2017,89,ACTRESS IN A LEADING ROLE,Emma Stone,La La Land,True
2016,2017,89,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Fences,True
2017,2018,90,ACTOR IN A LEADING ROLE,Gary Oldman,Darkest Hour,True
2017,2018,90,ACTOR IN A SUPPORTING ROLE,Sam Rockwell,"Three Billboards outside Ebbing, Missouri",True
2017,2018,90,ACTRESS IN A LEADING ROLE,Frances McDormand,"Three Billboards outside Ebbing, Missouri",True
2017,2018,90,ACTRESS IN A SUPPORTING ROLE,Allison Janney,"I, Tonya",True
2018,2019,91,ACTOR IN A LEADING ROLE,Rami Malek,Bohemian Rhapsody,True
2018,2019,91,ACTOR IN A SUPPORTING ROLE,Mahershala Ali,Green Book,True
2018,2019,91,ACTRESS IN A LEADING ROLE,Olivia Colman,The Favourite,True
2018,2019,91,ACTRESS IN A SUPPORTING ROLE,Regina King,If Beale Street Could Talk,True
2019,2020,92,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Joker,True
2019,2020,92,ACTOR IN A SUPPORTING ROLE,Brad Pitt,Once upon a Time...in Hollywood,True
2019,2020,92,ACTRESS IN A LEADING ROLE,Renée Zellweger,Judy,True
2019,2020,92,ACTRESS IN A SUPPORTING ROLE,Laura Dern,Marriage Story,True
2020,2021,93,ACTOR IN A LEADING ROLE,Anthony Hopkins,The Father,True
2020,2021,93,ACTOR IN A SUPPORTING ROLE,Daniel Kaluuya,Judas and the Black Messiah,True
2020,2021,93,ACTRESS IN A LEADING ROLE,Frances McDormand,Nomadland,True
2020,2021,93,ACTRESS IN A SUPPORTING ROLE,Yuh-Jung Youn,Minari,True
2021,2022,94,ACTOR IN A LEADING ROLE,Will Smith,King Richard,True
2021,2022,94,ACTOR IN A SUPPORTING ROLE,Troy Kotsur,CODA,True
2021,2022,94,ACTRESS IN A LEADING ROLE,Jessica Chastain,The Eyes of Tammy Faye,True
2021,2022,94,ACTRESS IN A SUPPORTING ROLE,Ariana DeBose,West Side Story,True
2022,2023,95,ACTOR IN A LEADING ROLE,Brendan Fraser,The Whale,True
2022,2023,95,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,Everything Everywhere All at Once,True
2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Yeoh,Everything Everywhere All at Once,True
2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis,Everything Everywhere All at Once,True
2023,2024,96,ACTOR IN A LEADING ROLE,Cillian Murphy,Oppenheimer,True
2023,2024,96,ACTOR IN A SUPPORTING ROLE,Robert Downey Jr.,Oppenheimer,True
2023,2024,96,ACTRESS IN A LEADING ROLE,Emma Stone,Poor Things,True
2023,2024,96,ACTRESS IN A SUPPORTING ROLE,Da'Vine Joy Randolph,The Holdovers,True
