title,release_year,adjusted_domestic_gross
Great Expectations,1998,50792079.96073619
We Own the Night,2007,43320132.54992764
Yi jiu si er,2012,290950.0871080139
She’s the Man,2006,52850950.3452381
The Odd Life of Timothy Green,2012,71004898.43205574
Extremely Loud and Incredibly Close,2011,44521893.22543352
Waking Ned Devine,1998,47822074.32147239
The Motorcycle Diaries,2004,27888847.83906829
Hansan Yongeui Chulhyeon (한산: 용의 출현)…,2022,930082.6347796378
St. Vincent,2014,58626517.33333333
The Abyss,1989,138851283.8516129
Spy x Family Code: White,2023,8368221.873318018
Doc Hollywood,1991,126387366.50220266
Night Swim,2024,32494740.0
Knock at the Cabin,2023,36524860.22973417
The Hot Chick,2002,61309835.01945525
Driven,2001,57903690.64709203
National Security,2003,62006772.79565217
Looney Tunes: Back in Action,2003,35798575.04347826
The Age of Shadows (밀정),2016,707751.08
Downsizing,2017,31362719.94124847
Lawless,2012,51209530.881533094
Spanglish,2004,69977419.388036
No Good Deed,2014,69791795.1026616
I Did It My Way (潛行),2023,196756.41089596326
Varsity Blues,1999,99819488.19687875
La Bamba,1987,150046890.76056337
Domestic Disturbance,2001,80254748.80180688
Sinister 2,2015,36800659.29113924
The Three Stooges,2012,60714014.04878048
The Borrowers,1998,43629440.37791411
The Whale,2022,18747391.65015374
Edward Scissorhands,1990,129842117.15990819
The Verdict,1982,175859558.5492228
Asteroid City,2023,29049265.047587793
Aeon Flux,2005,41626989.82488479
Mickey Blue Eyes,1999,63907257.65186074
The International,2009,37303709.5048951
"I, Tonya",2017,38500895.510403916
The Messengers,2007,53650976.8219971
Conclave,2024,31540035.0
The Three Musketeers,1993,116756204.09688582
Long Shot,2019,37275852.96206492
Rookie of the Year,1993,116576624.03875433
Stranger Than Fiction,2006,63059641.547619045
The Jungle Book,1994,94071696.12955466
Bounce,2000,67198504.91986063
The Boy Next Door,2015,47765007.74683544
Jesus Revolution,2023,53761664.301936336
Throw Momma From the Train,1987,147736991.7464789
Mummies,2023,5118413.426977355
Molly’s Game,2017,36918261.58139535
Radio,2003,89422430.58260868
Papillon,1973,377187945.9459459
Arachnophobia,1990,127992745.15684775
Doubt,2008,48841477.78913144
A Complete Unknown,2024,53167823.0
From Paris With Love,2010,34708588.027510315
That Awkward Moment,2014,34626444.66413181
To the Limit,1989,134380645.16129032
BTS: Yet to Come in Cinemas (방탄소년단 옛 …,2023,8140164.760091894
Defiance,2009,41985683.94965035
My Cousin Vinny,1992,118609625.22594438
Message in a Bottle,1999,99792779.29411764
Outrageous Fortune,1987,146308755.02112678
Patriots Day,2016,41771132.91
Saaho,2019,3229189.2436448964
Choi-jong-byeong-gi-hwal,2011,56875.78479324143
American Gigolo,1980,86779260.99029125
Untraceable,2008,41892500.34370645
Beethoven's 2nd,1993,114526324.816609
The Night Before,2015,57090430.12658228
The Roommate,2011,52143857.89595375
Leokki,2016,611121.5499999999
Wild,2014,50315098.97084917
Mother’s Day,2016,42565645.28999999
The Banshees of Inisherin,2022,11366807.073454048
Le Petit Nicolas,2010,290985.0563961485
Ordinary People,1980,199563789.84466016
Stand by Me,1986,149992362.78832117
"I, The Executioner (베테랑2)",2024,388067.0
One Hour Photo,2002,55220333.4430239
Nowhere to Run,1993,48278435.0283737
Ambulance,2022,24470046.313631702
10,1979,225773407.2396694
"South Park: Bigger, Longer & Uncut",1999,98203015.50540215
Amadeus,1984,157269685.44369584
Slender Man,2018,38269936.200716846
Hanging Up,2000,65797436.64111499
Peppermint,2018,44347457.23297491
Hocus Pocus,1993,110392584.91349481
Himalaya,2015,924252.4253164557
Maximum Risk,1996,28259788.894837476
Homefront,2013,27200986.630042914
Biloxi Blues,1988,114770080.2299239
Awakenings,1990,124212064.71002296
Prem Ratan Dhan Payo,2015,5790052.749367088
Teen Titans Go! To The Movies,2018,37300080.439665474
Goksung,2016,1030489.2299999999
Breaking In,2018,58648671.82795699
Daybreakers,2010,43392644.69876204
Sneakers,1992,115256843.90591587
Astérix: Le domaine des dieux,2014,2199985.774397972
Hooper,1978,247327369.91411042
Fargo,1996,49229451.33460803
Bodyguard,2011,2564385.636282792
Luca,2021,1536385.788929889
Silver Streak,1976,282236515.31810194
All the President’s Men,1976,282067275.28998244
Master,2016,765430.3799999999
Enough,2002,68467573.07392995
Team America: World Police,2004,54549538.430915825
Bull Durham,1988,135244432.77768382
College Road Trip,2008,66604354.946586154
Yeh Jawaani Hai Deewani,2013,5164615.06609442
Coco avant Chanel,2009,8961255.988811187
A Bridge Too Far,1977,263556435.6435643
August: Osage County,2013,50923098.12875536
Hot Pursuit,2015,45873481.832911395
Sea Monsters: A Prehistoric Adventure,2007,36014294.02026049
Elizabethtown,2005,43224648.921658985
The Deep,1977,262943635.80198017
Meet Dave,2008,17236149.826288898
Mighty Joe Young,1998,97660812.47116564
Notes on a Scandal,2006,27307445.92857143
Eddie Murphy: Raw,1987,139776967.71126762
About Last Night,2014,64603666.453738905
Hollywood Homicide,2003,51615910.891304344
Just Mercy,2019,44266219.119280405
Red Tails,2012,68297617.28571428
Concussion,2015,45809316.374683544
Nightcrawler,2014,43010793.99746514
Natural Born Killers,1994,106672750.54251012
Angels in the Outfield,1994,106575301.39271255
Grindhouse,2007,37963135.7105644
Sphere,1998,71498598.9791411
Breakdown,1997,98255668.99439251
Winnie the Pooh,2011,37315388.09426411
The Women,2008,39284776.49790989
Fever Pitch,2005,67727312.30721965
Absolute Power,1997,98077736.22429906
The Deer Hunter,1978,241104294.4785276
The Replacements,2000,81680205.28222997
Uncut Gems,2019,61507533.95385217
When a Man Loves a Woman,1994,106119459.57894737
A Walk in the Clouds,1995,103166405.24409448
Little Women,1994,106079881.6680162
Reds,1981,172937293.72937292
Capote,2005,46283495.29953916
The Way We Were,1973,353486647.027027
The Hurt Locker,2009,24943588.710489508
The Switch,2010,40014953.67262723
Legal Eagles,1986,143004928.9270073
Raising Helen,2004,62389888.847008996
Popeye,1980,190101490.68932036
Pleasantville,1998,78280625.53619632
Leaving Las Vegas,1995,65982280.11023622
The Substance,2024,16472109.0
Bakemono no ko,2015,650878.3088607595
"Planes, Trains & Automobiles",1987,137023975.03521127
Kokuriko-zaka Kara,2013,1350540.957939914
This Christmas,2007,74500415.09696092
Sky Captain and the World of Tomorrow,2004,62846845.69613552
Drillbit Taylor,2008,47988135.14909428
Push,2009,46627245.16923077
How Do You Know?,2010,43552717.68913342
Man on a Ledge,2012,25497073.170731705
The Ant Bully,2006,43888953.39285714
Belfast,2021,10732374.64206642
The Fourth Kind,2009,38428870.15384615
Dark Water,2005,41007375.52073732
Shampoo,1975,288732185.3085502
Scott Pilgrim vs. The World,2010,47693391.63686382
A Nightmare on Elm Street 4: The Drea…,1988,131207914.16398984
The Finest Hours,2016,36116120.98
The Black Dahlia,2006,35358791.702380955
Breakthrough,2019,50059417.2107939
Little,2019,50240653.99452483
Operation Chromite,2016,1339763.1999999997
The Last King of Scotland,2006,27458042.904761907
The Negotiator,1998,86230017.36441718
Tarot,2024,18771004.0
Bugsy,1991,113350126.46696036
Logan Lucky,2017,35632823.52019584
Cobra,1986,140683168.11678833
Danny the Dog,2005,39501423.66820276
So Young 2: Never Gone,2016,126311.50999999998
Death at a Funeral,2010,61610502.9656121
Full Metal Jacket,1987,124586532.44366197
Isn’t it Romantic,2019,59991979.63551036
The Rescuers,1977,253053602.73267323
Marry Me,2022,24101687.02425692
Andhadhun,2018,1493805.677419355
Brahmastra Part 1: Shiva,2022,8420278.630679877
She's Out of My League,2010,46144953.6176066
Fat Albert,2004,80080552.70725252
9,2009,46536907.569230765
Parker,2013,23771124.164806865
Les petits mouchoirs,2012,281405.8013937282
Fantasy Island,2020,32122473.959814522
Bajirao Mastani,2015,8698462.349367088
Mary Queen of Scots,2018,20845432.43966547
Charlie St. Cloud,2010,44985094.393397525
Magnolia,1999,42368466.626650654
The Big Wedding,2013,29442073.009442057
The Last Stand,2013,16260145.946781114
"Girl, Interrupted",1999,54484406.578631446
Queen & Slim,2019,53865204.004693
Malcolm X,1992,107944545.28866711
G.I. Jane,1997,94357524.27663551
Red Dawn,2012,61355629.682926826
Tightrope,1984,145549951.8768046
Her,2014,33961377.754119135
Single White Female,1992,107602788.2309337
Under the Sea 3D,2009,54740544.570629366
The Natural,1984,145102042.3253128
Secondhand Lions,2003,71886430.55217391
High Fidelity,2000,49802009.825783975
Walking Tall,2004,76917026.2869243
Monster Hunter,2020,18419940.37094281
Trouble with the Curve,2012,48971821.74564459
Shutter,2008,37863149.65164886
New Jack City,1991,109934398.99559473
Kick,2014,3284390.82382763
Phantom Thread,2017,27191822.325581394
The Rescuers Down Under,1990,67189375.19816373
Crazy Heart,2009,57855084.77762237
Man on the Moon,1999,65259013.46938775
Hard To Kill,1990,113976340.92119357
Almost Famous,2000,59378789.0174216
長江七號 (CJ7),2008,301809.39712029725
Darkness Falls,2003,55600411.44782609
Death at a Funeral,2007,13013442.176555716
The Watcher,2000,52850265.71428572
Born to be Wild 3D,2011,51541695.92174299
The Hunted,2003,58495500.62608695
The Wedding Date,2005,51075101.01382488
The Rainmaker,1997,92380291.08037382
Soul Surfer,2011,61305097.84615383
The Toy,1982,153512094.51606217
Goodfellas,1990,112442643.83779648
The Place Beyond the Pines,2013,28880971.560515016
Urban Cowboy,1980,179018318.35922328
"See No Evil, Hear No Evil",1989,118914193.54838708
Rough Night,2017,28355830.922888618
Chef,2014,41739361.46007604
The War with Grandpa,2020,25849185.644513134
Deck the Halls,2006,54729256.416666664
The Spy Next Door,2010,35039679.62585969
Midsommar,2019,33722520.638247944
Get Rich or Die Tryin',2005,49875543.471582174
Dog Day Afternoon,1975,272709017.21933085
The Wrestler,2008,38315390.614026934
Acrimony,2018,54527422.47072879
Colors,1988,123889192.43279795
The Debt,2011,43584798.093374826
Bangkok Dangerous,2008,22339679.58755225
Uncle Drew,2018,53176228.68339307
The Last House on the Left,2009,48006043.8041958
Entourage,2015,42932718.217721514
The Distinguished Gentleman,1992,104055800.48467568
A Monster Calls,2016,4900478.129999999
The Paper,1994,78002406.63967611
The Nativity Story,2006,58684617.39285714
Blink Twice,2024,23093906.0
Des Hommes et Des Dieux,2011,5528422.740773676
Qi Man Dun Jia,2017,159299.8482252142
"Ruby Gillman, Teenage Kraken",2023,16255109.419100756
Risen,2016,48312843.23
Fantastic Mr. Fox,2009,30784698.058741257
Torque,2004,35245291.883536264
One Fine Day,1996,92515883.02868068
Huang Jin Xiong Di,2018,357841.29032258067
Napoleon Dynamite,2004,74132750.48385389
Deliverance,1972,346910727.5598086
For Love of the Game,1999,66406413.06122448
A Walk to Remember,2002,72049974.95052806
Malice,1993,100169876.52871972
The Nanny Diaries,2007,39321495.3748191
Mr. Brooks,2007,43188245.31403762
Ji Xian Feng,2020,964004.0958268932
Winchester,2018,31417231.98088411
The Breakfast Club,1985,134044179.94795538
"Greystoke: The Legend of Tarzan, Lord…",1984,138892781.52069294
Zan men jie hun ba,2015,612875.7063291139
Gunhamdo,2017,1417374.4626682987
Brewster's Millions,1985,119214869.88847584
Firefox,1982,149171299.15025905
Zhui Long 2: Zhui Ji Da Fu Hao,2019,241774.46069612828
"McFarland, USA",2015,59006744.55696202
You yi ge di fang zhi you wo men zhi dao,2015,639429.9037974683
Orphan: First Kill,2022,5814549.261359754
Dancer in the Dark,2000,7590680.43205575
The Circle,2017,26293440.039167687
Judy,2019,29902994.675009776
Thelma & Louise,1991,104709973.56828195
Hero,2015,112707.75696202532
The Life and Times of Grizzly Adams,1974,289599152.27586204
Barbarian,2022,43870931.30714042
Keeping the Faith,2000,67620472.80836238
Wei ai zhi jian ru jia jing,2014,360934.38783269963
Good Boy!,2003,64362713.8173913
Early Man,2018,10351715.784946237
Léon,1994,40912252.53441296
Scarface,1983,142766003.3253012
The Holdovers,2023,21003380.045946833
The Duchess,2008,20223495.97398978
The French Dispatch,2021,18706654.981549814
Brothers,2009,41838149.00139859
Eddie the Eagle,2016,20684099.589999996
Convoy,1978,216993865.03067484
Deep Throat,1972,338468899.5215311
Notorious,2009,54003047.18321678
Medicine Man,1992,100725065.26015678
Lakeview Terrace,2008,57336025.48258244
A Nightmare On Elm Street 3: Dream Wa…,1987,123969973.56338029
Home,2009,22620.67692307692
Jeremiah Johnson,1972,336165701.3971292
Neuk-dae-so-nyeon,2012,469576.1184668989
Meet Joe Black,1998,86122459.77423313
The Gift,2000,21925186.090592336
Ra. One,2011,3507677.9012894616
mother!,2017,22832808.068543453
One Missed Call,2008,39267203.39247561
The Good Son,1993,96727451.0948097
Recess: School's Out,2001,65146593.21513269
RENAISSANCE: A FILM BY BEYONCÉ,2023,34968548.24286183
Café Society,2016,14545198.549999999
Heretic,2024,27716205.0
The Sisterhood of the Traveling Pants 2,2008,64384044.03901532
Love the Coopers,2015,34892736.82025316
The Postman Always Rings Twice,1981,42196699.669966996
Oculus,2014,36786587.84283903
House at the End of the Street,2012,43287397.1707317
The Boy in the Striped Pyjamas,2008,13209992.784022294
Passenger 57,1992,98747265.16892372
Loving Vincent,2017,8639416.969400246
Harriet,2019,52972348.58036762
Prey for the Devil,2022,21270382.36829518
The Last Emperor,1987,121733097.82394366
Semi-Pro,2008,48890000.237807706
Love at First Bite,1979,190112396.69421488
Jìyì dàshī,2017,753572.2888616892
A Man Apart,2003,45280434.782608695
When in Rome,2010,47110458.57496561
Monster's Ball,2001,55519599.530208915
Hardball,2001,71406132.11518915
Imaginary,2024,28009161.0
In the Heights,2021,34775618.09889299
Freedom Writers,2007,55517613.45296671
Welcome Home Roscoe Jenkins,2008,61969535.27542963
Going the Distance,2010,25665619.46629986
We Are Marshall,2006,67910031.95238096
Fly Me To the Moon,2008,21238345.003251277
The DUFF,2015,45144049.95443038
Soul Food,1997,85196305.92897196
City Slickers II: The Legend of Curly…,1994,92158122.3805668
A River Runs Through It,1992,97345890.47469705
Golmaal Again,2017,1300562.8690330477
Feng Shen Bang,2016,187893.3
Jobs,2013,21767018.472103
Harold & Kumar Escape from Guantanamo…,2008,55649717.06084533
Last Holiday,2006,59885653.46428572
Orange County,2002,71757502.55919954
The Fabelmans,2022,18635149.668602664
Marked for Death,1990,103976912.66717674
Girl with a Pearl Earring,2003,19879583.76521739
Dilwale,2015,6462131.169620253
Boogie Nights,1997,51735491.603738315
Richard Jewell,2019,27475316.405162297
Annihilation,2018,40983812.96057348
See Spot Run,2001,59218466.71033314
The Longest Yard,1974,274274620.28397566
Regarding Henry,1991,99263374.44933921
Escape from Alcatraz,1979,186214876.03305784
California Suite,1978,206932925.19018403
Past Lives,2023,11299272.882179193
The Possession of Hannah Grace,2018,18576236.979689367
No Escape,2015,36200933.994936705
The Iron Claw,2023,36745515.993436165
Glory Road,2006,66509712.13095238
Just Friends,2005,52475526.83256528
The Uninvited,2009,41915336.03356643
Shaolin Soccer,2004,813665.2027527792
Heartbreak Ridge,1986,122558676.50364964
The Electric Horseman,1979,184786382.74380165
21 Bridges,2019,35091511.93116934
Abigail,2024,25867515.0
Basic,2003,45450019.40869565
Almost Christmas,2016,55105392.349999994
The Four Seasons,1981,146955751.57755774
Robinson Crusoe,2016,10487317.659999998
Mask,1985,123941920.6394052
Chernobyl Diaries,2012,24811911.21951219
Forever Young,2015,198670.28860759494
8 femmes,2002,5376475.931072817
My Name is Khan,2010,5832957.535075653
The Lady in the Van,2015,13293913.164556962
Blue Thunder,1983,133567454.79518072
Legend,2015,2484680.6481012655
Teenage Mutant Ninja Turtles III,1993,91978011.55432527
Panda Plan (熊猫计划),2024,40110.0
Spirit Untamed,2021,20553424.33948339
Joheunnom nabbeunnom isanghannom,2010,185217.78266850067
21 and Over,2013,34654679.27896995
Countdown,2019,31503649.708251856
Earth to Echo,2014,51715734.36755387
White Nights,1985,123191179.60594796
Di Qiu Zui Hou De Ye Wang,2018,652796.3201911589
In the Bedroom,2001,63786459.049124785
A Good Year,2006,11632955.952380953
Meari to majo no hana,2017,3102187.7503059977
Dirty Rotten Scoundrels,1988,111724950.12679626
Gamer,2009,30098716.83356643
Bagdad Cafe,1988,9533795.969568891
Into the Blue,2005,30236211.821812592
Holmes & Watson,2018,38274841.89247312
Carol,2015,16862838.693670884
A Lot Like Love,2005,35151922.629800305
"As Above, So Below",2014,28188829.049429655
Toilet: Ek Prem Katha,2017,910002.6438188495
The Fisher King,1991,96485768.17621146
Balls of Fury,2007,49877732.44573082
The Informant!,2009,48833606.16503496
Ansisung,2018,591194.7048984468
The Rocky Horror Picture Show,1975,237050587.36059478
The Guilt Trip,2012,50849290.92334494
Cheech & Chong's Next Movie,1980,159013118.85436893
Wimbledon,2004,28065625.85494971
The Gallows,2015,30198862.886075947
Dream House,2011,29779705.18452645
Astro Boy,2009,28656668.83356643
Still Alice,2015,24749249.620253164
Up in Smoke,1978,200554858.26993865
Call Me by Your Name,2017,23172960.391676866
Three Days of the Condor,1975,242577698.4535316
Fighting With My Family,2019,28229090.712553773
Safe,2012,23473301.184668988
Dredd,2012,18369277.358885016
Gridiron Gang,2006,59936902.53571428
The Great Outdoors,1988,110173493.76162298
Ghajini,2008,3549421.209475151
Pale Rider,1985,120998908.72862452
Cabaret,1972,310838148.861244
Peggy Sue Got Married,1986,118711361.40875912
Leatherheads,2008,45814984.24152345
Man of the Year,2006,58391971.190476194
50/50,2011,48950944.86082703
This is Where I Leave You,2014,45554554.32192649
Don Jon,2013,33029142.221459225
The Mirror Has Two Faces,1996,82692748.58891013
Private Parts,1997,80702162.63177569
Ricki and the Flash,2015,35604802.41012658
30 Minutes or Less,2011,51799705.22721209
Money Talks,1997,80464587.88785046
The Best of Me,2014,35552587.102661595
Drive Angry,2011,14987517.897732323
Ferrari,2023,19140562.625533313
Falling Down,1993,88997160.13287197
Where the Heart Is,2000,61658868.20905924
Boku no Hero Academia: World Heroes’ …,2021,11331912.239114389
Undercover Brother,2002,66812944.76931628
Di Renjie,2010,684377.1554332875
The Forest,2016,34838481.91
Broken Flowers,2005,22127063.102918584
War,2007,34103844.61939218
The Intruder,2019,43513078.03832616
Three Fugitives,1989,102915290.32258064
The Dark Crystal,1982,132201130.71917097
El secreto de sus ojos,2010,9213514.343878955
Bill & Ted’s Excellent Adventure,1989,102649163.39999999
Whiplash,2014,18453486.84410646
Jagged Edge,1985,118312474.68401486
Pretty in Pink,1986,116097544.22627737
The Ringer,2005,57034180.337941624
Bless the Child,2000,53630903.38675959
Foul Play,1978,194885464.38036808
80 for Brady,2023,40704352.67476206
The Witch,2016,32931703.549999997
The Master of Disguise,2002,70540821.74541411
Serenity,2005,41074061.16129032
Fist Fight,2017,41287630.129742965
The Faculty,1998,77699853.51165643
The Best Christmas Pageant Ever,2024,40048808.0
The Piano,1993,87374601.56678201
Mo' Money,1992,90062266.57163219
Paws of Fury: The Legend of Hank,2022,19131870.518619746
The Love Guru,2008,47073540.73014398
Big Business,1988,106705943.47252746
The Invasion,2007,22862159.432706222
All About Steve,2009,49634017.26433566
Twisted,2004,41933952.991000526
Scoop,2006,16415106.273809524
Encounter in the Third Dimension,1999,13579573.858343337
Grand Canyon,1991,74675770.92511013
N.L.L: Yeonpyeong Haejeon,2015,430766.4708860759
Hannah and Her Sisters,1986,114985606.66423358
Encino Man,1992,89764516.55024944
Funny Lady,1975,234081301.42750928
Manhattan,1979,172992667.107438
Man of the House,1995,82579530.37795275
Thank You For Smoking,2006,38666067.60714286
Show Dogs,2018,22217956.845878135
The Secret Life of Bees,2008,55170389.21690664
xiu chun dao II: xiu luo zhan chang,2017,18220.06364749082
Magnificent Desolation,2005,54937296.5407066
Dolor y gloria,2019,5615843.047321079
The Beach,2000,72627128.48780487
Cirque du Freak: The Vampire's Assistant,2009,20588575.608391605
Memento,2001,45348990.315076225
Tequila Sunrise,1988,105517814.44463228
Monte Carlo,2011,32414051.461093813
Mar adentro,2004,3472455.62731604
Out for Justice,1991,91580336.40528636
Mars Needs Moms,2011,29906105.447754554
Dreamer: Inspired by a True Story,2005,53160300.65745007
Nobody's Fool,1994,83698367.25506073
Joe Versus the Volcano,1990,94733658.5095639
Becoming Jane,2007,28306481.516642544
One for the Money,2012,36170415.02090592
Whale Rider,2003,35506124.94782609
Furry Vengeance,2010,25415030.701513067
Blind Date,1987,108825021.12676057
The Last Princess,2016,33736.42999999999
Anna and the King,1999,74072957.0420168
Three Amigos,1986,112583696.8029197
Killing Them Softly,2012,20465496.909407664
The Legend of Bagger Vance,2000,56042853.47735192
Brooklyn's Finest,2010,39157421.54607978
Million Dollar Arm,2014,48412498.139416985
We Live in Time,2024,24690031.0
Overlord,2018,27176435.498207886
Underwater,2019,21260519.840438012
Roxanne,1987,108346679.23943663
What's Love Got to Do With It,1993,85075021.22076124
Winged Migration,2003,19973034.039130434
Don't Be Afraid of the Dark,2011,33616170.83503779
Primary Colors,1998,75259228.03435583
Dokjeon,2018,457813.2281959379
Yentl,1983,123147074.0
The Spirit,2008,28922738.073385973
The Eagle,2011,27246193.37661182
Agora,2010,892923.3892709765
3 Days to Kill,2014,40775035.427122936
Red Dawn,1984,117710875.8421559
Tau ming chong,2010,186071.17469050892
Dnevnoy dozor,2007,696283.0101302459
K-9,1989,98526846.94838709
First Sunday,2008,55391451.99071063
Clockstoppers,2002,64637251.33073929
On the Basis of Sex,2018,30932699.135005973
Criminal,2015,19512295.453164555
The Sitter,2011,42697136.03557136
Little Shop of Horrors,1986,111151257.70072992
Redi,2011,1307019.0947087593
Nomadland,2021,4292546.125461254
The Gambler,2014,44737236.522179976
About Last Night...,1986,111021954.96350364
Someone Like You,2001,48532340.91022021
On Deadly Ground,1994,81868016.16194332
A Ga ssi,2016,2628892.28
The Ghost and the Darkness,1996,77276317.88910134
You Will Meet a Tall Dark Stranger,2010,4681858.552957359
The Soloist,2009,46688889.55524475
Running Scared,1986,110443688.45255475
What's the Worst That Could Happen?,2001,57283953.391304344
Bachelor Party,1984,116306657.71703559
Nada a Perder,2018,850834.513739546
Bang Bang,2014,3428431.7160963244
Employee of the Month,2006,44360428.63095238
The Darkest Minds,2018,15896157.906810036
The Lazarus Effect,2015,34227905.51898734
Beauty Shop,2005,58519531.182795696
City Heat,1984,116043520.95476419
After the Sunset,2004,47148569.08840656
Accepted,2006,57047510.39285714
Head of State,2003,64568580.88695652
Ex Machina,2015,33749541.27594937
The Missing,2003,45964487.16521739
Annie Hall,1977,198452937.62376234
The Original Kings of Comedy,2000,69686562.81533101
Thugs of Hindostan,2018,1815341.3428912784
The In-Laws,1979,165428099.1735537
Starting Over,1979,165428099.1735537
Fly Me to the Moon,2024,20532222.0
Gongjak,2018,623234.4563918757
Quest for Camelot,1998,43924380.36809816
The Covenant,2006,36437936.952380955
Just My Luck,2006,27021323.214285713
Jumping the Broom,2011,52137269.33570475
La piel que habito,2011,4452755.354379724
The Running Man,1987,105506661.971831
Spaceballs,1987,105499695.90845071
Carnage,2011,3560236.8021342815
Overcomer,2019,42666111.24286273
Ri¢hie Ri¢h,1994,80801555.2388664
The Banger Sisters,2002,52964395.47748749
Beastly,2011,38954804.45709203
Higher Learning,1995,78442356.4566929
For Colored Girls,2010,54388890.6519945
Dead Again,1991,87755872.77533041
King Richard,2021,17562701.880442802
Postcards from the Edge,1990,91321006.47589901
Sgt. Bilko,1996,60829264.38240918
Suffragette,2014,6246053.434727503
Emma,1996,44548331.90057361
All That Jazz,1979,163798398.54545453
St. Elmo’s Fire,1985,110449070.63197026
Mighty Morphin Power Rangers: The Movie,1995,77950565.9527559
It Could Happen To You,1994,80157932.61538462
Showgirls,1995,41983445.259842515
Om Shanti Om,2007,5455927.432706222
The Wicker Man,2006,38073383.05952381
How Stella Got Her Groove Back,1998,72664868.67239264
Beverly Hills Ninja,1997,61205832.73271028
Hell or High Water,2016,35380275.63999999
Bill & Ted's Bogus Journey,1991,86650844.49339208
Nightmare Alley,2021,13153877.641328411
The Money Pit,1986,107571991.55474453
The Doctor,1991,86558059.55947137
The Boat That Rocked,2009,11751476.106293704
Time Bandits,1981,129357095.70957094
Mortdecai,2015,10209554.97721519
Gomorra,2009,2314608.4027972026
Unhinged,2020,25306849.28902627
Home Again,2017,34660046.06119951
The Majestic,2001,49345429.72783738
Psycho,1998,41549441.34478527
What a Girl Wants,2003,61496819.41304348
The Main Event,1979,161092380.2644628
Semi-Tough,1977,192931295.40594056
Bloodshot,2019,12322447.527571373
Brubaker,1980,141639138.29126212
A Walk in the Woods,2015,39133373.306329116
Broken City,2013,26583888.247210298
The Family That Preys,2008,54184407.16024152
Uptown Girls,2003,63385187.83043478
Women Who Flirt,2014,496924.67427122936
Jersey Girl,2004,42052254.9370037
The Fog,2005,47507903.80337941
Nan Ji Jue Lian,2018,148187.4504181601
Yi Sheng Yi Shi,2014,554627.102661597
Cheech & Chong's Nice Dreams,1981,127973597.35973597
Hostiles,2017,38250222.11995104
Gifted,2017,31813549.787025705
The Bachelor,1999,41009764.192076825
Zack and Miri Make a Porno,2008,45937660.11333023
Just Cause,1995,76027906.8031496
My Favorite Martian,1999,69541847.26530612
Chimpanzee,2012,39663503.09059233
Kiss of the Dragon,2001,65389293.682665154
The Adventurers,2017,277785.41982864134
Amour,2012,9227905.651567943
Burnt,2015,18110429.630379748
Barfi,2012,3840820.4947735188
Titan A.E.,2000,41540198.592334494
"Sex, Lies, and Videotape",1989,62732097.61935483
The Getaway,1972,276300579.27272725
Eight Legged Freaks,2002,30175592.951639798
Disaster Movie,2008,20722802.01764979
The Sword and the Sorcerer,1982,119615434.81865284
The Adventures of Pinocchio,1996,30823162.829827916
Shine,1996,71759964.49713193
Best Friends,1982,119473811.46528496
Gung Ho,1986,105024545.47445256
Jackie,2016,18288116.139999997
"Tarzan, The Ape Man",1981,126469042.90429042
Sicko,2007,37216152.85672937
Hotel Rwanda,2004,39144594.19375331
Soapdish,1991,84232164.37004405
Fly Away Home,1996,50383788.26768643
"To Wong Foo Thanks for Everything, Ju…",1995,75230246.77165353
The Father,2020,2576661.069551777
The Glimmer Man,1996,40887711.98470363
Haywire,2012,25938542.257839717
Room,2015,19471142.217721518
Alive,1993,78980043.23875433
The Kids Are All Right,2010,30000427.125171937
A Very Harold & Kumar 3D Christmas,2011,49013731.19786571
Rumble in the Bronx,1996,64687262.9751434
Across The Sea of Time,1995,33040137.1496063
Casanova,2005,18198178.71582181
Last Tango in Paris,1972,271864417.83732057
Devil's Due,2014,21015071.138149556
Silent Movie,1976,199722434.23550087
Love Happens,2009,33660748.643356636
A Most Wanted Man,2014,22896415.766793407
Set It Off,1996,72236071.09751435
Assault On Precinct 13,2005,32262454.62365591
Så som i himmelen,2008,14947.507663725033
Garden State,2004,44575755.163578615
Pete’s Dragon,1977,186772277.22772273
Strays,2023,24752561.352149658
Miss Potter,2006,4687312.55952381
Wu ji,2006,1044296.130952381
Taps,1981,124016975.39273927
The Black Hole,1979,155216166.31404957
Arbitrage,2012,10844573.456445992
My Dog Skip,2000,62258576.16724739
Faster,2010,33501431.856946353
Selena,1997,70094212.60560748
Respect,2021,28166526.36752767
The China Syndrome,1979,154636479.40495867
Robin Hood: Men in Tights,1993,77673742.78754325
Other People's Money,1991,82367259.91189428
Father's Day,1997,56182751.10280374
Courageous,2011,48952489.60071142
Antlers,2021,12320384.678966789
Absolutely Fabulous: The Movie,2016,6251523.049999999
The Bikeriders,2024,21746895.0
The Indian in the Cupboard,1995,73498678.4566929
Silkwood,1983,112425175.39759037
Steve Jobs,2015,23568933.65063291
No Way Out,1987,98276333.76760563
Down with Love,2003,34695494.1
Alex Cross,2012,35449985.77003484
Eye in the Sky,2016,24503020.759999998
The Gauntlet,1977,183659405.94059405
The `Burbs,1989,89711114.0516129
Snowden,2015,28637620.14177215
A Goofy Movie,1995,72898795.41732283
Namiya,2017,50776.04895960832
EDtv,1999,42477381.88235294
All of Me,1984,106646601.21655436
Honeymoon in Vegas,1992,78899955.07911617
Alfie,2004,22295834.947591316
